Date,S&P 500,Dow 30,NASDAQ,Gold,EUR/USD,10-Yr Bond,Bitcoin
2019-06-18,2917.750000,26465.539063,7953.879883,1346.599976,1.122460,2.060000,9081.762695
2019-06-19,2926.459961,26504.000000,7987.319824,1344.599976,1.119821,2.029000,9273.521484
2019-06-20,2954.179932,26753.169922,8051.339844,1392.900024,1.123848,2.001000,9527.160156
2019-06-21,2950.459961,26719.130859,8031.709961,1396.199951,1.129561,2.068000,10144.556641
2019-06-24,2945.350098,26727.539063,8005.700195,null,1.138472,null,10701.691406
2019-06-25,2917.379883,26548.220703,7884.720215,1414.300049,1.140030,2.021000,10855.371094
2019-06-26,2913.780029,26536.820313,7909.970215,1414.900024,1.136997,1.994000,11011.102539
2019-06-27,2924.919922,26526.580078,7967.759766,1411.599976,1.137475,2.049000,11790.916992
2019-06-28,2941.760010,26599.960938,8006.240234,1408.400024,1.137294,2.005000,13016.231445
2019-07-01,2964.330078,26717.429688,8091.160156,1409.699951,1.136493,2.000000,11182.806641
2019-07-02,2973.010010,26786.679688,8109.089844,null,1.128745,null,12407.332031
2019-07-03,2995.820068,26966.000000,8170.229980,1385.599976,1.129305,2.034000,11959.371094
2019-07-05,2990.409912,26922.119141,8161.790039,1404.599976,1.128796,1.976000,10817.155273
2019-07-08,2975.949951,26806.140625,8098.379883,null,1.128579,null,10583.134766
2019-07-09,2979.629883,26783.490234,8141.729980,1396.699951,1.122738,2.048000,10801.677734
2019-07-10,2993.070068,26860.199219,8202.530273,null,1.121604,null,11961.269531
2019-07-11,2999.909912,27088.080078,8196.040039,1397.000000,1.120825,2.034000,11215.437500
2019-07-12,3013.770020,27332.029297,8244.139648,1397.500000,1.125885,2.054000,10978.459961
2019-07-15,3014.300049,27359.160156,8258.190430,1410.099976,1.125239,2.061000,11208.550781
2019-07-16,3004.040039,27335.630859,8222.799805,1404.300049,1.127205,2.120000,11450.846680
2019-07-17,2984.419922,27219.849609,8185.209961,1409.900024,1.126177,2.106000,12285.958008
2019-07-18,2995.110107,27222.970703,8207.240234,null,1.121227,null,12573.812500
2019-07-19,2976.610107,27154.199219,8146.490234,1411.400024,1.122965,2.092000,12156.512695
2019-07-22,2985.030029,27171.900391,8204.139648,1409.199951,1.126152,2.122000,11358.662109
2019-07-23,3005.469971,27349.189453,8251.400391,1421.300049,1.121831,2.061000,11815.986328
2019-07-24,3019.560059,27269.970703,8321.500000,1426.099976,1.120611,2.038000,11392.378906
2019-07-25,3003.669922,27140.980469,8238.540039,1425.099976,1.115126,2.048000,10256.058594
2019-07-26,3025.860107,27192.449219,8330.209961,null,1.114243,null,10895.089844
2019-07-29,3020.969971,27221.349609,8293.330078,1425.300049,1.114616,2.043000,9477.641602
2019-07-30,3013.179932,27198.019531,8273.610352,1420.099976,1.113214,2.074000,9693.802734
2019-07-31,2980.379883,26864.269531,8175.419922,1422.800049,1.114305,2.050000,10666.482422
2019-08-01,2953.560059,26583.419922,8111.120117,1413.900024,1.115797,2.074000,10530.732422
2019-08-02,2932.050049,26485.009766,8004.069824,1418.500000,1.107175,2.081000,10767.139648
2019-08-05,2844.739990,25717.740234,7726.040039,null,1.107886,null,10599.105469
2019-08-06,2881.770020,26029.519531,7833.270020,1419.599976,1.110803,2.055000,10343.106445
2019-08-07,2883.979980,26007.070313,7862.830078,1429.699951,1.124379,2.061000,9900.767578
2019-08-08,2938.090088,26378.189453,8039.160156,1426.099976,1.120699,2.021000,9811.925781
2019-08-09,2918.649902,26287.439453,7959.140137,1420.900024,1.120436,1.894000,9911.841797
2019-08-12,2882.699951,25896.439453,7863.410156,1445.599976,1.118718,1.855000,9870.303711
2019-08-13,2926.320068,26279.910156,8016.359863,null,1.120850,null,9477.677734
2019-08-14,2840.600098,25479.419922,7773.939941,1464.599976,1.121831,1.735000,9552.860352
2019-08-15,2847.600098,25579.390625,7766.620117,1472.400024,1.117706,1.739000,9519.145508
2019-08-16,2888.679932,25886.009766,7895.990234,1507.300049,1.114330,1.684000,9607.423828
2019-08-19,2923.649902,26135.789063,8002.810059,1497.699951,1.111358,1.716000,10085.627930
2019-08-20,2900.510010,25962.439453,7948.560059,1496.599976,1.109385,1.734000,10399.668945
2019-08-21,2924.429932,26202.730469,8020.209961,null,1.108316,null,10518.174805
2019-08-22,2922.949951,26252.240234,7991.390137,1505.300049,1.109779,1.639000,10821.726563
2019-08-23,2847.110107,25628.900391,7751.770020,1502.199951,1.109078,1.680000,10970.184570
2019-08-26,2878.379883,25898.830078,7853.740234,1515.900024,1.108402,1.581000,11805.653320
2019-08-27,2869.159912,25777.900391,7826.950195,1519.599976,1.114305,1.529000,11478.168945
2019-08-28,2887.939941,26036.099609,7856.879883,1512.500000,1.110371,1.539000,11941.968750
2019-08-29,2924.580078,26362.250000,7973.390137,null,1.109004,null,11966.407227
2019-08-30,2926.459961,26403.279297,7962.879883,1500.400024,1.108586,1.598000,11862.936523
2019-09-03,2906.270020,26118.019531,7874.160156,1504.599976,1.106195,1.561000,11354.024414
2019-09-04,2937.780029,26355.470703,7976.879883,1504.599976,1.099179,1.577000,11523.579102
2019-09-05,2976.000000,26728.150391,8116.830078,1497.300049,1.096852,1.610000,11382.616211
2019-09-06,2978.709961,26797.460938,8103.069824,1526.599976,1.097454,1.528000,10895.830078
2019-09-09,2978.429932,26835.509766,8087.439941,null,1.103497,null,10051.704102
2019-09-10,2979.389893,26909.429688,8084.160156,1526.300049,1.103631,1.545000,10311.545898
2019-09-11,3000.929932,27137.039063,8169.680176,1541.000000,1.102062,1.490000,10374.338867
2019-09-12,3009.570068,27182.449219,8194.469727,1537.800049,1.104838,1.466000,10231.744141
2019-09-13,3007.389893,27219.519531,8176.709961,1526.500000,1.105033,1.516000,10345.810547
2019-09-16,2997.959961,27076.820313,8153.540039,1519.099976,1.101346,1.506000,10916.053711
2019-09-17,3005.699951,27110.800781,8186.020020,null,1.105828,null,10763.232422
2019-09-18,3006.729980,27147.080078,8177.390137,1545.900024,1.108340,1.466000,10138.049805
2019-09-19,3006.790039,27094.789063,8182.879883,1550.300049,1.100594,1.459000,10131.055664
2019-09-20,2992.070068,26935.070313,8117.669922,1515.400024,1.107469,1.565000,10407.964844
2019-09-23,2991.780029,26949.990234,8112.459961,1506.199951,1.103144,1.550000,10159.960938
2019-09-24,2966.600098,26807.769531,7993.629883,null,1.104850,null,10138.517578
2019-09-25,2984.870117,26970.710938,8077.379883,1502.199951,1.101904,1.622000,10370.820313
2019-09-26,2977.620117,26891.119141,8030.660156,1490.300049,1.099372,1.702000,10185.500000
2019-09-27,2961.790039,26820.250000,7939.629883,1494.400024,1.101686,1.733000,9754.422852
2019-09-30,2976.739990,26916.830078,7999.339844,1498.699951,1.095290,1.791000,9510.200195
2019-10-01,2940.250000,26573.039063,7908.680176,1490.900024,1.092275,1.903000,9598.173828
2019-10-02,2887.610107,26078.619141,7785.250000,null,1.094271,null,9630.664063
2019-10-03,2910.629883,26201.039063,7872.259766,1503.099976,1.089966,1.841000,9757.970703
2019-10-04,2952.010010,26573.720703,7982.470215,1505.099976,1.093494,1.812000,10346.760742
2019-10-07,2938.790039,26478.019531,7956.290039,1507.500000,1.096371,1.786000,10623.540039
2019-10-08,2893.060059,26164.039063,7823.779785,1498.400024,1.097538,1.774000,10594.493164
2019-10-09,2919.399902,26346.009766,7903.740234,1507.300049,1.098660,1.755000,10575.533203
2019-10-10,2938.129883,26496.669922,7950.779785,null,1.097213,null,10353.302734
2019-10-11,2970.270020,26816.589844,8057.040039,1523.699951,1.096011,1.708000,10517.254883
2019-10-14,2966.149902,26787.359375,8048.649902,1532.099976,1.098780,1.635000,10441.276367
2019-10-15,2995.679932,27024.800781,8148.709961,1504.599976,1.101103,1.732000,10334.974609
2019-10-16,2989.689941,27001.980469,8124.180176,1507.500000,1.103000,1.685000,10115.975586
2019-10-17,2997.949951,27025.880859,8156.850098,1499.099976,1.102901,1.675000,10178.372070
2019-10-18,2986.199951,26770.199219,8089.540039,null,1.103473,null,10410.126953
2019-10-21,3006.719971,26827.640625,8162.990234,1465.699951,1.107493,1.675000,10360.546875
2019-10-22,2995.989990,26788.099609,8104.299805,1482.000000,1.112718,1.644000,10358.048828
2019-10-23,3004.520020,26833.949219,8119.790039,1501.000000,1.115573,1.596000,10347.712891
2019-10-24,3010.290039,26805.529297,8185.799805,1507.099976,1.115175,1.536000,10276.793945
2019-10-25,3022.550049,26958.060547,8243.120117,1506.199951,1.112929,1.515000,10241.272461
2019-10-28,3039.419922,27090.720703,8325.990234,null,1.113239,null,10198.248047
2019-10-29,3036.889893,27071.460938,8276.849609,1497.699951,1.110396,1.553000,10266.415039
2019-10-30,3046.770020,27186.689453,8303.980469,1497.199951,1.108426,1.537000,10181.641602
2019-10-31,3037.560059,27046.230469,8292.360352,1506.099976,1.109915,1.589000,10019.716797
2019-11-01,3066.909912,27347.359375,8386.400391,1494.800049,1.111482,1.658000,10070.392578
2019-11-04,3078.270020,27462.109375,8433.200195,1482.699951,1.115449,1.752000,9729.324219
2019-11-05,3074.620117,27492.630859,8434.679688,null,1.115710,null,8620.566406
2019-11-06,3076.780029,27492.560547,8410.629883,1491.699951,1.116657,1.733000,8486.993164
2019-11-07,3085.179932,27674.800781,8434.519531,1477.599976,1.112855,1.771000,8118.967773
2019-11-08,3093.080078,27681.240234,8475.309570,1488.000000,1.107420,1.748000,8251.845703
2019-11-11,3087.010010,27691.490234,8464.280273,1492.300049,1.107040,1.757000,8245.915039
2019-11-12,3091.840088,27691.490234,8486.089844,1488.199951,1.101970,1.747000,8104.185547
2019-11-13,3094.040039,27783.589844,8482.099609,null,1.102244,null,8293.868164
2019-11-14,3096.629883,27781.960938,8479.019531,1482.400024,1.103546,1.792000,8343.276367
2019-11-15,3120.459961,28004.890625,8540.830078,1481.699951,1.101237,1.768000,8393.041992
2019-11-18,3122.030029,28036.220703,8549.940430,1489.900024,1.101322,1.759000,8259.992188
2019-11-19,3120.179932,27934.019531,8570.660156,1498.900024,1.102050,1.766000,8205.939453
2019-11-20,3108.459961,27821.089844,8526.730469,1499.500000,1.105510,1.801000,8151.500488
2019-11-21,3103.540039,27766.289063,8506.209961,null,1.107236,null,7988.155762
2019-11-22,3110.290039,27875.619141,8519.879883,1490.000000,1.108000,1.853000,8245.623047
2019-11-25,3133.639893,28066.470703,8632.490234,1487.000000,1.107886,1.835000,8228.783203
2019-11-26,3140.520020,28121.679688,8647.929688,1493.199951,1.106586,1.798000,8595.740234
2019-11-27,3153.629883,28164.000000,8705.179688,1511.400024,1.102256,1.691000,8586.473633
2019-11-29,3140.979980,28051.410156,8665.469727,1508.000000,1.101443,1.728000,8321.756836
2019-12-02,3113.870117,27783.039063,8567.990234,null,1.102256,null,8336.555664
2019-12-03,3093.199951,27502.810547,8520.639648,1508.000000,1.100485,1.786000,8321.005859
2019-12-04,3112.760010,27649.779297,8566.669922,1480.800049,1.101176,1.866000,8374.686523
2019-12-05,3117.429932,27677.789063,8570.700195,1490.199951,1.101904,1.814000,8205.369141
2019-12-06,3145.909912,28015.060547,8656.530273,1464.199951,1.107911,1.926000,8047.526855
2019-12-09,3135.959961,27909.599609,8621.830078,1461.300049,1.108525,1.933000,8103.911133
2019-12-10,3132.520020,27881.720703,8616.179688,null,1.108303,null,7973.207520
2019-12-11,3141.629883,27911.300781,8654.049805,1455.500000,1.110543,1.943000,7988.560547
2019-12-12,3168.570068,28132.050781,8717.320313,1452.099976,1.105889,1.909000,8222.078125
2019-12-13,3168.800049,28135.380859,8734.879883,1461.699951,1.106499,1.870000,8243.720703
2019-12-16,3191.449951,28235.890625,8814.230469,1471.800049,1.109275,1.815000,8078.203125
2019-12-17,3192.520020,28267.160156,8823.360352,1467.300049,1.113586,1.834000,7514.671875
2019-12-18,3191.139893,28239.279297,8827.740234,null,1.118606,null,7493.488770
2019-12-19,3205.370117,28376.960938,8887.219727,1470.900024,1.112446,1.808000,8660.700195
2019-12-20,3221.219971,28455.089844,8924.959961,1473.300049,1.113697,1.786000,9244.972656
2019-12-23,3224.010010,28551.529297,8945.650391,1473.300049,1.115138,1.738000,9551.714844
2019-12-24,3223.379883,28515.449219,8952.879883,1463.099976,1.111593,1.772000,9256.148438
2019-12-26,3239.909912,28621.390625,9022.389648,1463.099976,1.112595,1.774000,9427.687500
2019-12-27,3240.020020,28645.259766,9006.620117,null,1.107984,null,9205.726563
2019-12-30,3221.290039,28462.140625,8945.990234,1456.599976,1.109385,1.764000,9199.584961
2019-12-31,3230.780029,28538.439453,8972.599609,1459.800049,1.109016,1.740000,9261.104492
2020-01-02,3257.850098,28868.800781,9092.190430,1453.400024,1.109545,1.767000,9324.717773
2020-01-03,3234.850098,28634.880859,9020.769531,null,1.110112,null,9235.354492
